material_raw,true_eform,pred_eform,material_id,e_hull,true_label,pred_label
mp-1220643,-0.0800478458404541,-0.0725071430206298,mp-1220643,0.00826225000000047,Stable,Stable
mp-850950,-2.39003586769104,-2.265214681625366,mp-850950,0.09796064910156943,Stable,Stable
mp-1204932,-1.3380805253982544,-1.0912635326385498,mp-1204932,0.48289376960937336,Stable,Stable
mp-756186,-2.4264657497406006,-2.286427974700928,mp-756186,0.08868505166666552,Stable,Stable
mp-706631,-2.529860734939575,-2.429694652557373,mp-706631,0.0,Stable,Stable
mp-504627,-0.501022219657898,-0.4619866609573364,mp-504627,0.09200707902778138,Stable,Stable
mp-560899,-2.2708773612976074,-2.15994930267334,mp-560899,0.009811502500002511,Stable,Stable
mp-1173486,-3.451781749725342,-3.2856664657592773,mp-1173486,0.036507844000000844,Stable,Stable
mp-754325,-2.3012924194335938,-2.1956591606140137,mp-754325,0.03507665054349207,Stable,Stable
mp-567719,-0.3902033269405365,-0.3515338897705078,mp-567719,0.03497219336021473,Stable,Stable
mp-761857,-2.800929546356201,-2.647811889648437,mp-761857,0.08764134322447781,Stable,Stable
mp-1034284,-2.612828731536865,-2.541375160217285,mp-1034284,0.30178604146627563,Stable,Stable
mp-558805,-2.7995810508728027,-2.658700704574585,mp-558805,0.0,Stable,Stable
mp-559364,-2.6431281566619877,-2.455232620239258,mp-559364,0.0,Stable,Stable
mp-849568,-2.4740118980407715,-2.3390607833862305,mp-849568,0.03730192950000699,Stable,Stable
mp-770654,-2.301496982574463,-2.1991186141967773,mp-770654,0.07299038406249991,Stable,Stable
mp-726274,-1.75063157081604,-1.7846434116363523,mp-726274,0.5411153015833348,Stable,Stable
mp-1196351,-2.0031981468200684,-1.885656476020813,mp-1196351,0.012452851125010156,Stable,Stable
mp-773205,-2.49643874168396,-2.3923048973083496,mp-773205,0.09079794961806353,Stable,Stable
mp-1033729,-2.7030680179595947,-2.60418701171875,mp-1033729,0.2849708624596783,Stable,Stable
mp-1027782,0.2696149051189422,0.2813078165054321,mp-1027782,0.31810821546875,Unstable,Unstable
mp-1209806,-0.1083714812994003,-0.1235733032226562,mp-1209806,0.03285310751568016,Stable,Stable
mp-1238800,-0.1509131789207458,-0.142598271369934,mp-1238800,0.20701494000000054,Stable,Stable
mp-1225723,-0.6515913009643555,-0.6464468240737915,mp-1225723,0.000725370624999222,Stable,Stable
mp-979948,-0.5568762421607971,-0.5454901456832886,mp-979948,0.0,Stable,Stable
mp-1204785,-2.6063098907470703,-2.491811513900757,mp-1204785,0.0,Stable,Stable
mp-1191941,-0.6021814346313477,-0.6249785423278809,mp-1191941,0.0,Stable,Stable
mp-973540,-0.5524430871009827,-0.5497286319732666,mp-973540,0.004150117499998274,Stable,Stable
mp-23742,-2.126572847366333,-2.037036895751953,mp-23742,0.0,Stable,Stable
mp-779068,-2.5322482585906982,-2.387770891189575,mp-779068,0.08873935891951135,Stable,Stable
mp-775322,-2.2805564403533936,-2.163858652114868,mp-775322,0.05512879047917085,Stable,Stable
mp-1205377,0.4856143295764923,0.0750203132629394,mp-1205377,1.0255664422222281,Unstable,Unstable
mp-13765,-0.3668372631072998,-0.339638352394104,mp-13765,0.009677480972227315,Stable,Stable
mp-1193589,-0.2019937634468078,-0.1906225681304931,mp-1193589,0.029960702931033367,Stable,Stable
mp-1194333,-1.192939043045044,-0.9730623960494996,mp-1194333,1.2455542985336567,Stable,Stable
mp-555489,-3.566173553466797,-3.3821942806243896,mp-555489,0.01251001994791423,Stable,Stable
mp-30091,-0.4402782320976257,-0.3285313844680786,mp-30091,0.0,Stable,Stable
mp-761234,-2.2498719692230225,-2.143049955368042,mp-761234,0.0720467893241139,Stable,Stable
mp-1097047,-1.6169734001159668,-1.500443696975708,mp-1097047,0.06335902833332963,Stable,Stable
mp-1214927,-0.371210515499115,-0.6596261262893677,mp-1214927,1.5405305277148438,Stable,Stable
mp-631524,1.1409748792648315,0.7192189693450928,mp-631524,1.2027740964583344,Unstable,Unstable
mp-20874,-0.548947274684906,-0.3838332891464233,mp-20874,0.0,Stable,Stable
mp-10117,-0.3072892129421234,-0.283747911453247,mp-10117,0.0,Stable,Stable
mp-1215922,-0.7961446642875671,-0.7412656545639038,mp-1215922,0.07623186124999926,Stable,Stable
mp-561186,-3.350878953933716,-3.097334384918213,mp-561186,0.0,Stable,Stable
mp-1217003,-1.7312554121017456,-1.5879087448120115,mp-1217003,0.057822638217858824,Stable,Stable
mp-1202707,-0.2386267483234405,-0.1315370798110962,mp-1202707,0.034622232094907446,Stable,Stable
mp-1195203,-0.2256321609020233,-0.2190001010894775,mp-1195203,0.08395933241152331,Stable,Stable
mp-780112,-2.445142984390259,-2.306881666183472,mp-780112,0.06130978927777875,Stable,Stable
mp-556206,-3.018221139907837,-2.8776237964630127,mp-556206,0.0,Stable,Stable
mp-1190599,-0.5781554579734802,-0.5653021335601807,mp-1190599,0.0,Stable,Stable
mp-760457,-3.4372003078460693,-3.3176960945129395,mp-760457,0.08505931666666733,Stable,Stable
mp-1209829,-0.772743284702301,-0.7086241841316223,mp-1209829,0.0,Stable,Stable
mp-1196460,-2.204841375350952,-2.112610340118408,mp-1196460,0.008201045267852258,Stable,Stable
mp-1220806,-0.3324809670448303,-0.304158091545105,mp-1220806,0.0016493205172398717,Stable,Stable
mp-849514,-2.392022132873535,-2.271519422531128,mp-849514,0.09597453378906806,Stable,Stable
mp-1222763,-0.5705507397651672,-0.4778491258621216,mp-1222763,0.0016800114285704382,Stable,Stable
mp-1194254,-2.980851650238037,-2.927700996398926,mp-1194254,0.036986485256406354,Stable,Stable
mp-1217512,-0.208165094256401,-0.167407751083374,mp-1217512,0.0,Stable,Stable
mp-1025127,-0.4613511860370636,-0.4462674856185913,mp-1025127,0.041612061547610324,Stable,Stable
mp-1191380,-2.594036102294922,-2.4289751052856445,mp-1191380,0.011557017291671912,Stable,Stable
mp-771158,-3.1415674686431885,-2.977400779724121,mp-771158,0.0,Stable,Stable
mp-505537,-0.2325341999530792,-0.2940342426300049,mp-505537,0.0057081436206889435,Stable,Stable
mp-1200209,-2.8996193408966064,-2.800819396972656,mp-1200209,0.0,Stable,Stable
mp-1183440,0.8356224894523621,0.8804209232330322,mp-1183440,0.8356224979166669,Unstable,Unstable
mp-756306,-2.293455123901367,-2.2332119941711426,mp-756306,0.10920502754999806,Stable,Stable
mp-1106398,-0.4580948948860168,-0.5531786680221558,mp-1106398,0.0,Stable,Stable
mp-764815,-2.254590511322021,-2.1537325382232666,mp-764815,0.06732828467295082,Stable,Stable
mp-1189784,-0.5774824619293213,-0.5596877336502075,mp-1189784,0.013033559999998445,Stable,Stable
mp-570529,-0.6185334920883179,-0.6522977352142334,mp-570529,0.0,Stable,Stable
mp-1216445,-0.7163201570510864,-0.6764183044433594,mp-1216445,0.01781422050000714,Stable,Stable
mp-1026871,0.2403197735548019,0.2230722904205322,mp-1026871,0.25681083637500013,Unstable,Unstable
mp-759933,-2.465930938720703,-2.3523366451263428,mp-759933,0.11331288772727444,Stable,Stable
mp-768960,-2.360440254211426,-2.16025972366333,mp-768960,0.04684860387500045,Stable,Stable
mp-569404,-0.2751820981502533,-0.2972686290740967,mp-569404,0.002017770357143789,Stable,Stable
mp-568624,-0.4591341316699981,-0.4857187271118164,mp-568624,0.07693541758928113,Stable,Stable
mp-1199198,-2.9162166118621826,-2.796797752380371,mp-1199198,0.0,Stable,Stable
