id,true_eform,pred_eform,error,material_id,e_hull,true_label,pred_label
mp-697408,-1.03764115855263,-1.0488914251327517,-0.0112502665801215,mp-697408,0.03680522553946819,Stable,Stable
mp-722329,-0.22371662611111,-0.2080472707748413,0.0156693553362687,mp-722329,0.1071649819444449,Stable,Stable
mp-973835,0.8724563125,0.9442662596702576,0.0718099471702575,mp-973835,0.8724563125000007,Unstable,Unstable
mp-1246162,-0.301747936666665,-0.3328301906585693,-0.0310822539919043,mp-1246162,0.3362293212962939,Stable,Stable
mp-7790,-1.43342192902778,-1.3884600400924685,0.0449618889353118,mp-7790,0.02086333333333279,Stable,Stable
mp-11918,-1.248534829,-1.283692479133606,-0.0351576501336059,mp-11918,0.0,Stable,Stable
mp-1092268,-0.233309686014798,-0.5241195559501648,-0.2908098699353668,mp-1092268,0.3828463845937513,Stable,Stable
mp-1245977,0.244011926321389,0.2054605782032013,-0.0385513481181876,mp-1245977,0.2848384993750006,Unstable,Unstable
mp-1101159,-2.259184299,-2.2506532669067383,0.0085310320932618,mp-1101159,0.2047772365000018,Stable,Stable
mp-723044,-0.887200795238095,-0.8984950184822083,-0.0112942232441132,mp-723044,0.0,Stable,Stable
mp-10558,-1.53863926159091,-1.537756085395813,0.0008831761950969,mp-10558,0.0,Stable,Stable
mp-1246278,-1.08589553655856,-0.984018087387085,0.1018774491714751,mp-1246278,0.15130039624999903,Stable,Stable
mp-755234,-2.67687387607408,-2.6657631397247314,0.0111107363493485,mp-755234,0.17390610333333356,Stable,Stable
mp-1180026,-0.595983682698413,-0.4734795689582824,0.1225041137401304,mp-1180026,1.3890518672222232,Stable,Stable
mp-1199527,-0.943036358888888,-0.9691427946090698,-0.0261064357201817,mp-1199527,0.3974666866666645,Stable,Stable
mp-1245541,-0.394749417499999,-0.4410977959632873,-0.0463483784632883,mp-1245541,0.4674849860416668,Stable,Stable
mp-1245394,-0.17816622061638,-0.2099082469940185,-0.0317420263776385,mp-1245394,0.1581568329999996,Stable,Stable
mp-1101868,0.633648126666666,0.5071539282798767,-0.1264941983867893,mp-1101868,0.6336481266666674,Unstable,Unstable
mp-1246309,0.291755209444441,0.6370141506195068,0.3452589411750658,mp-1246309,0.5848668783333331,Unstable,Unstable
mp-1245244,0.032771455624999,0.0026949346065521,-0.0300765210184468,mp-1245244,0.7028208625000012,Unstable,Unstable
mp-1193106,-0.683750417738095,-0.7115132212638855,-0.0277628035257905,mp-1193106,0.0,Stable,Stable
mp-1246874,-1.15354740520833,-1.1270025968551636,0.0265448083531665,mp-1246874,0.005467598333336099,Stable,Stable
mp-1197085,-0.920845863428571,-1.061982035636902,-0.1411361722083308,mp-1197085,0.8963390172500034,Stable,Stable
mp-1245411,-0.697184083428031,-0.5907480120658875,0.1064360713621435,mp-1245411,0.04434352253787921,Stable,Stable
mp-558481,-1.165362940625,-1.1480857133865356,0.0172772272384642,mp-558481,0.14829934499999986,Stable,Stable
mp-1201023,-0.249775919171874,-0.2357195019721985,0.0140564171996755,mp-1201023,0.12241498463541767,Stable,Stable
mp-1029679,-0.355066663333333,-0.3544959425926208,0.0005707207407121,mp-1029679,0.0,Stable,Stable
mp-567060,-0.905372837057292,-0.7940926551818848,0.1112801818754072,mp-567060,0.37366068752603976,Stable,Stable
mp-558979,-0.537962801874999,-0.599414587020874,-0.061451785145875,mp-558979,0.4065458040624996,Stable,Stable
mp-1210647,-2.03875630956633,-2.0494463443756104,-0.0106900348092802,mp-1210647,0.4544703691071392,Stable,Stable
mp-1196217,0.553765741307867,0.7179717421531677,0.1642060008453006,mp-1196217,0.8371476758680565,Unstable,Unstable
mp-1246674,-0.19021102875479,-0.2830779552459717,-0.0928669264911816,mp-1246674,0.3707443427380941,Stable,Stable
mp-1080191,0.534185174000003,0.6283034086227417,0.0941182346227387,mp-1080191,0.534185174000001,Unstable,Unstable
mp-554079,-0.534049250681818,-0.5045241713523865,0.0295250793294314,mp-554079,0.15799549818181813,Stable,Stable
mp-1178197,-0.789617428999999,-0.7929022908210754,-0.0032848618210764,mp-1178197,0.17451289450000118,Stable,Stable
mp-557991,-0.435416675,-0.4165001213550567,0.0189165536449432,mp-557991,0.3932447984999978,Stable,Stable
mp-574060,-0.134867562641667,-0.0862888693809509,0.048578693260716,mp-574060,0.38589190141666485,Stable,Stable
mp-1246161,-1.39433393416667,-1.3669915199279783,0.0273424142386915,mp-1246161,0.3122480916666692,Stable,Stable
mp-1029446,-0.601278283125001,-0.6520130634307861,-0.0507347803057851,mp-1029446,0.21949066500000036,Stable,Stable
mp-1246780,-1.01636377961538,-1.0078810453414917,0.0084827342738882,mp-1246780,0.07918212102564315,Stable,Stable
mp-755526,-3.19454485785714,-3.199450969696045,-0.0049061118389048,mp-755526,0.05293334645240222,Stable,Stable
mp-729291,-0.781311357738095,-0.8346380591392517,-0.0533267014011566,mp-729291,0.45670072202381373,Stable,Stable
mp-1246799,-0.546271374722222,-0.5556040406227112,-0.0093326659004892,mp-1246799,0.1644031041666647,Stable,Stable
mp-1196097,0.947557801602789,0.3925535678863525,-0.5550042337164365,mp-1196097,1.3921021906097542,Unstable,Unstable
mp-1180489,0.961269831041665,0.9793272614479064,0.0180574304062415,mp-1180489,1.4303803575000007,Unstable,Unstable
