Material,Target_FE,Predicted_FE,material_id,true_eform,pred_eform,abs_error,mean_cn,hybridization
mp-850713,-1.7592421770095823,-1.7940146923065186,mp-850713,-1.7592421770095823,-1.7940146923065186,0.03477251529693626,3.0,sp2-like
mp-648157,-0.953000783920288,-0.8399425745010376,mp-648157,-0.953000783920288,-0.8399425745010376,0.11305820941925038,1.9473684210526316,sp-like
mp-1209399,-0.3520223498344421,-0.2922197580337524,mp-1209399,-0.3520223498344421,-0.2922197580337524,0.0598025918006897,3.0,sp2-like
mp-653887,-0.7940822839736938,-0.6061109304428101,mp-653887,-0.7940822839736938,-0.6061109304428101,0.1879713535308838,2.0,sp-like
mp-1026448,0.2892439365386963,0.3872671127319336,mp-1026448,0.2892439365386963,0.3872671127319336,0.0980231761932373,6.0,sp3-like
mp-1036764,-2.819110631942749,-2.8121588230133057,mp-1036764,-2.819110631942749,-2.8121588230133057,0.006951808929443359,6.0,sp3-like
mp-1196308,0.4036571085453033,0.1947913169860839,mp-1196308,0.4036571085453033,0.1947913169860839,0.2088657915592194,3.0,sp2-like
mp-1202054,-0.0658117979764938,0.0605462789535522,mp-1202054,-0.0658117979764938,0.0605462789535522,0.126358076930046,2.923076923076923,sp2-like
mp-568422,-0.0365255028009414,-0.0091667175292968,mp-568422,-0.0365255028009414,-0.0091667175292968,0.0273587852716446,2.0,sp-like
mp-1191793,-2.4425785541534424,-2.338947534561157,mp-1191793,-2.4425785541534424,-2.338947534561157,0.1036310195922856,3.0,sp2-like
mp-571432,-1.550940752029419,-1.4823601245880127,mp-571432,-1.550940752029419,-1.4823601245880127,0.06858062744140625,5.0,sp3-like
mp-20350,-0.3020772635936737,-0.2739460468292236,mp-20350,-0.3020772635936737,-0.2739460468292236,0.02813121676445013,6.0,sp3-like
mp-1196543,-0.0687897652387619,0.4826822280883789,mp-1196543,-0.0687897652387619,0.4826822280883789,0.5514719933271408,6.0,sp3-like
mp-1095701,-2.7871310710906982,-2.8070125579833984,mp-1095701,-2.7871310710906982,-2.8070125579833984,0.019881486892700195,0.0,sp-like
mp-757965,-1.9711313247680664,-2.011991500854492,mp-757965,-1.9711313247680664,-2.011991500854492,0.04086017608642578,3.0,sp2-like
mp-567885,0.1475561112165451,0.1319955587387085,mp-567885,0.1475561112165451,0.1319955587387085,0.015560552477836609,3.0,sp2-like
mp-1181157,-1.3492802381515503,-1.4499491453170776,mp-1181157,-1.3492802381515503,-1.4499491453170776,0.10066890716552734,2.0,sp-like
mp-567262,0.154869943857193,0.1913154125213623,mp-567262,0.154869943857193,0.1913154125213623,0.03644546866416931,2.0,sp-like
mp-1033792,-2.6455681324005127,-2.686305522918701,mp-1033792,-2.6455681324005127,-2.686305522918701,0.04073739051818848,4.0,sp3-like
mp-1103294,-0.1111340820789337,-0.2084690332412719,mp-1103294,-0.1111340820789337,-0.2084690332412719,0.09733495116233819,1.5,sp-like
mp-1217920,-1.225130915641785,-1.260016679763794,mp-1217920,-1.225130915641785,-1.260016679763794,0.034885764122009055,6.0,sp3-like
mp-28913,-2.0112881660461426,-1.6920034885406494,mp-28913,-2.0112881660461426,-1.6920034885406494,0.31928467750549316,6.0,sp3-like
mp-1226352,-0.1731317639350891,0.1092727184295654,mp-1226352,-0.1731317639350891,0.1092727184295654,0.28240448236465454,6.0,sp3-like
mp-1021328,-0.2555634081363678,-0.0567069053649902,mp-1021328,-0.2555634081363678,-0.0567069053649902,0.1988565027713776,4.0,sp3-like
mp-621953,-1.0163718461990356,-0.994858980178833,mp-621953,-1.0163718461990356,-0.994858980178833,0.021512866020202637,2.0,sp-like
mp-571330,-0.2824417650699615,-0.2266180515289306,mp-571330,-0.2824417650699615,-0.2266180515289306,0.055823713541030884,6.0,sp3-like
mp-1209218,-0.5184271335601807,-0.4886467456817627,mp-1209218,-0.5184271335601807,-0.4886467456817627,0.02978038787841797,1.6666666666666667,sp-like
mp-1200504,-1.3761922121047974,-1.2976877689361572,mp-1200504,-1.3761922121047974,-1.2976877689361572,0.07850444316864014,2.8,sp2-like
mp-648805,-0.9044218063354492,-0.8915984630584717,mp-648805,-0.9044218063354492,-0.8915984630584717,0.012823343276977539,1.9473684210526316,sp-like
mp-1217933,-0.8779190182685852,-0.958250105381012,mp-1217933,-0.8779190182685852,-0.958250105381012,0.08033108711242676,6.0,sp3-like
mp-1206141,-0.4605772793292999,-0.5385277271270752,mp-1206141,-0.4605772793292999,-0.5385277271270752,0.07795044779777527,6.0,sp3-like
mp-1225512,-0.1850392967462539,-0.2990944385528564,mp-1225512,-0.1850392967462539,-0.2990944385528564,0.11405514180660248,6.0,sp3-like
mp-1038482,-2.8252532482147217,-2.8689403533935547,mp-1038482,-2.8252532482147217,-2.8689403533935547,0.04368710517883301,4.0,sp3-like
mp-1202759,-2.5527572631835938,-2.6512184143066406,mp-1202759,-2.5527572631835938,-2.6512184143066406,0.09846115112304688,3.0,sp2-like
mp-1197136,-0.3894823491573334,-0.3697513341903686,mp-1197136,-0.3894823491573334,-0.3697513341903686,0.019731014966964777,3.0,sp2-like
mp-2367,-0.3309616446495056,-0.328863263130188,mp-2367,-0.3309616446495056,-0.328863263130188,0.002098381519317627,6.0,sp3-like
mp-568498,-0.933420181274414,-0.8917089700698853,mp-568498,-0.933420181274414,-0.8917089700698853,0.0417112112045287,2.0,sp-like
mp-1209042,-0.9016360640525818,-0.9050000309944152,mp-1209042,-0.9016360640525818,-0.9050000309944152,0.003363966941833385,2.6666666666666665,sp2-like
mp-1103814,-0.5064214468002319,-0.5077046155929565,mp-1103814,-0.5064214468002319,-0.5077046155929565,0.0012831687927246094,2.0,sp-like
mp-1247167,0.3521982729434967,0.302598237991333,mp-1247167,0.3521982729434967,0.302598237991333,0.049600034952163696,2.25,sp-like
mp-1217822,-0.5460118651390076,-0.5050523281097412,mp-1217822,-0.5460118651390076,-0.5050523281097412,0.04095953702926636,6.0,sp3-like
mp-1552,-0.139049619436264,-0.0027772188186645,mp-1552,-0.139049619436264,-0.0027772188186645,0.13627240061759952,6.0,sp3-like
mp-979413,1.2538963556289673,0.7875964641571045,mp-979413,1.2538963556289673,0.7875964641571045,0.4662998914718628,12.0,sp3-like
mp-1173626,-3.0649659633636475,-3.1558215618133545,mp-1173626,-3.0649659633636475,-3.1558215618133545,0.09085559844970703,3.0,sp2-like
