file_name,predicted_energy_per_atom,formation_energy_per_atom,material_id,true_eform,pred_eform,abs_error,mean_cn,hybridization
mp-1197697.cif,-1.83431875705719,-1.6636993885040283,mp-1197697,-1.6636993885040283,-1.83431875705719,0.17061936855316162,3.0,sp2-like
mp-19754.cif,-0.663908839225769,-0.3406106829643249,mp-19754,-0.3406106829643249,-0.663908839225769,0.32329815626144415,6.0,sp3-like
mp-734582.cif,0.2991015017032623,0.6584704518318176,mp-734582,0.6584704518318176,0.2991015017032623,0.35936895012855535,3.0,sp2-like
mp-2625.cif,-0.6952956318855286,-0.290364533662796,mp-2625,-0.290364533662796,-0.6952956318855286,0.40493109822273254,5.0,sp3-like
mp-758625.cif,-1.7181742191314695,-1.684834361076355,mp-758625,-1.684834361076355,-1.7181742191314695,0.033339858055114524,3.0,sp2-like
mp-1194767.cif,-0.2162205278873443,-0.1385551542043686,mp-1194767,-0.1385551542043686,-0.2162205278873443,0.07766537368297571,3.6666666666666665,sp3-like
mp-571244.cif,-0.5757195353507996,-0.4327984154224396,mp-571244,-0.4327984154224396,-0.5757195353507996,0.14292111992835999,3.1666666666666665,sp2-like
mp-1181996.cif,3.5687472820281982,2.6368207931518555,mp-1181996,2.6368207931518555,3.5687472820281982,0.9319264888763428,4.0,sp3-like
mp-1034591.cif,-2.8417179584503174,-2.5669140815734863,mp-1034591,-2.5669140815734863,-2.8417179584503174,0.27480387687683105,0.0,sp-like
mp-1179666.cif,1.9553451538085935,1.196492314338684,mp-1179666,1.196492314338684,1.9553451538085935,0.7588528394699094,1.5,sp-like
mp-1203337.cif,0.4316989481449127,0.2627068161964416,mp-1203337,0.2627068161964416,0.4316989481449127,0.16899213194847112,3.0,sp2-like
mp-1202349.cif,-0.2700245082378387,-0.2903461754322052,mp-1202349,-0.2903461754322052,-0.2700245082378387,0.02032166719436651,1.5,sp-like
mp-1218639.cif,-2.832770109176636,-2.59928297996521,mp-1218639,-2.59928297996521,-2.832770109176636,0.23348712921142623,3.0,sp2-like
mp-1200004.cif,-2.7122342586517334,-2.52616286277771,mp-1200004,-2.52616286277771,-2.7122342586517334,0.18607139587402344,3.0,sp2-like
mp-739866.cif,1.174953579902649,1.5201202630996704,mp-739866,1.5201202630996704,1.174953579902649,0.3451666831970215,1.875,sp-like
mp-1219568.cif,-1.0393571853637695,-1.2357341051101685,mp-1219568,-1.2357341051101685,-1.0393571853637695,0.19637691974639893,2.0,sp-like
mp-1180486.cif,-0.1943193227052688,-0.1839770525693893,mp-1180486,-0.1839770525693893,-0.1943193227052688,0.010342270135879517,3.0,sp2-like
mp-1032503.cif,-2.3698999881744385,-2.230055809020996,mp-1032503,-2.230055809020996,-2.3698999881744385,0.13984417915344238,6.0,sp3-like
mp-652326.cif,-1.0226423740386963,-0.5700196623802185,mp-652326,-0.5700196623802185,-1.0226423740386963,0.4526227116584778,2.0,sp-like
mp-683660.cif,-0.8850418925285339,-0.8102575540542603,mp-683660,-0.8102575540542603,-0.8850418925285339,0.07478433847427368,2.0,sp-like
mp-1215195.cif,-0.9979100823402404,-0.657386302947998,mp-1215195,-0.657386302947998,-0.9979100823402404,0.3405237793922423,6.0,sp3-like
mp-1229076.cif,0.4147212505340576,-0.1371305137872696,mp-1229076,-0.1371305137872696,0.4147212505340576,0.5518517643213272,2.0,sp-like
mp-1009894.cif,-0.5149891376495361,-0.4004006087779999,mp-1009894,-0.4004006087779999,-0.5149891376495361,0.11458852887153625,4.0,sp3-like
