file_name,pred_eform,true_eform,material_id,e_hull,true_label,pred_label
mp-727248.cif,-1.3835736513137815,-1.203923225402832,mp-727248,0.5951537091337737,Stable,Stable
mp-864887.cif,-1.3527461290359497,-1.3194934129714966,mp-864887,0.0052346487777752415,Stable,Stable
mp-1245856.cif,-0.8476223349571228,-0.8629998564720154,mp-1245856,0.03568654249999881,Stable,Stable
mp-1428795.cif,-0.008010596036911,-0.1410390734672546,mp-1428795,0.3744327469999966,Stable,Stable
mp-776212.cif,-2.585958242416382,-2.529250383377075,mp-776212,0.1295248295000011,Stable,Stable
mp-1106163.cif,-0.6663652062416077,-0.5293084979057312,mp-1106163,1.3698039407638873,Stable,Stable
mp-1029832.cif,-1.2619627714157104,-1.2667731046676636,mp-1029832,0.0,Stable,Stable
mp-1181105.cif,-0.5376937985420227,-0.4982459545135498,mp-1181105,0.17512676107638647,Stable,Stable
mp-1019743.cif,-0.5520414710044861,-0.6322928667068481,mp-1019743,0.2234889624999994,Stable,Stable
mp-1247100.cif,-0.3672745823860168,-0.4811561405658722,mp-1247100,0.03846265814814842,Stable,Stable
mp-1246749.cif,-0.3968967199325561,-0.4513549506664276,mp-1246749,0.11373015505050432,Stable,Stable
mp-1181093.cif,-0.7167482972145081,-0.7378854751586914,mp-1181093,0.2038277038157874,Stable,Stable
mp-605860.cif,-0.3527763485908508,-0.3641580939292907,mp-605860,0.05486756677083493,Stable,Stable
mp-556430.cif,0.1034348458051681,0.0842089131474495,mp-556430,0.4215904067389449,Unstable,Unstable
mp-776466.cif,-3.213600873947144,-3.184938430786133,mp-776466,0.06253987978573505,Stable,Stable
mp-1246615.cif,-0.5276206731796265,-0.5487741827964783,mp-1246615,0.38517526985713957,Stable,Stable
mp-1198019.cif,-1.6471620798110962,-1.6385127305984497,mp-1198019,0.0,Stable,Stable
mp-21327.cif,0.892589271068573,0.6869434714317322,mp-21327,1.874561988295448,Unstable,Unstable
mp-1228943.cif,-0.8923872113227844,-0.9194223284721376,mp-1228943,0.003032757499999761,Stable,Stable
mp-1194847.cif,-0.3671451807022095,-0.3789336681365967,mp-1194847,0.0056640455965997205,Stable,Stable
mp-1219270.cif,-0.2143595218658447,-0.1967034488916397,mp-1219270,0.1431928514285694,Stable,Stable
mp-1198510.cif,-1.663030982017517,-1.6361829042434692,mp-1198510,0.0,Stable,Stable
mp-1246274.cif,0.0587767511606216,0.1397621184587478,mp-1246274,0.3323155952107282,Unstable,Unstable
mp-1246180.cif,-0.7145687937736511,-0.668677806854248,mp-1246180,0.24563143111111074,Stable,Stable
mp-643123.cif,-0.1815937906503677,-0.1868524700403213,mp-643123,0.7354487118611104,Stable,Stable
mp-1096968.cif,-0.0288245528936386,-0.1318291574716568,mp-1096968,0.3676287164583325,Stable,Stable
mp-1247510.cif,0.384199321269989,0.33853679895401,mp-1247510,0.4076725443681326,Unstable,Unstable
mp-37550.cif,-1.204428791999817,-1.2515666484832764,mp-37550,0.09153768583332322,Stable,Stable
mp-1246933.cif,-0.2208335846662521,-0.1594452261924743,mp-1246933,0.4942257983333356,Stable,Stable
mp-1247282.cif,-1.029052972793579,-1.0585360527038574,mp-1247282,0.09599881486110995,Stable,Stable
mp-726709.cif,0.3220569491386413,0.2921094298362732,mp-726709,1.2510394744444477,Unstable,Unstable
mp-29156.cif,-1.156551480293274,-1.191192865371704,mp-29156,0.0380106026190461,Stable,Stable
mp-1419.cif,0.5522624850273132,0.4501973390579223,mp-1419,0.4501973490340916,Unstable,Unstable
mp-1229212.cif,-0.4503316879272461,-0.4187777042388916,mp-1229212,0.34586170461538224,Stable,Stable
mp-776321.cif,-0.2445514351129531,-0.3174132704734802,mp-776321,0.14700750083333247,Stable,Stable
mp-1029574.cif,-0.1979170441627502,-0.1702962517738342,mp-1029574,0.017569250097702493,Stable,Stable
mp-1246519.cif,-0.6765178442001343,-0.685971200466156,mp-1246519,0.12449259646052546,Stable,Stable
mp-22631.cif,0.1255395263433456,0.1778652817010879,mp-22631,0.17786528208333507,Unstable,Unstable
mp-1238356.cif,-0.3303360342979431,-0.2122326642274856,mp-1238356,0.3979377357812499,Stable,Stable
mp-601326.cif,-0.6855890154838562,-0.7010682225227356,mp-601326,0.0,Stable,Stable
mp-626542.cif,0.0276849269866943,-0.0753171071410179,mp-626542,0.8769928056666663,Stable,Unstable
mp-1079486.cif,2.187002420425415,2.4633703231811523,mp-1079486,2.4623492563888885,Unstable,Unstable
mp-11670.cif,-1.4671095609664917,-1.4360827207565308,mp-11670,0.0,Stable,Stable
mp-1246076.cif,-0.1647218167781829,-0.1276490688323974,mp-1246076,0.3465357596153851,Stable,Stable
mp-1078929.cif,0.0848171263933181,-0.0150456456467509,mp-1078929,0.7498316949999997,Stable,Unstable
mp-1247225.cif,-0.6107068657875061,-0.6695536971092224,mp-1247225,0.19210678874999942,Stable,Stable
mp-1228339.cif,-1.897292137145996,-1.7416664361953735,mp-1228339,0.2658820272916671,Stable,Stable
mp-1223097.cif,-0.5862271785736084,-0.5739880204200745,mp-1223097,0.008584822812499837,Stable,Stable
mp-707274.cif,-0.9302706122398376,-0.9070630073547364,mp-707274,0.1944709083007803,Stable,Stable
mp-510380.cif,-0.1993911564350128,-0.2096613496541977,mp-510380,0.06883214624999923,Stable,Stable
mp-552185.cif,-0.7310926914215088,-0.680663526058197,mp-552185,0.0,Stable,Stable
mp-1246609.cif,-0.2378217279911041,-0.242162674665451,mp-1246609,0.03854832699999733,Stable,Stable
mp-1212631.cif,-1.1911104917526243,-1.133937120437622,mp-1212631,0.5506877583680545,Stable,Stable
mp-759161.cif,-0.3415390849113464,-0.3670810163021087,mp-759161,0.08723175328124988,Stable,Stable
mp-1245876.cif,-0.3001918494701385,-0.2870611846446991,mp-1245876,0.38920278187499946,Stable,Stable
mp-604245.cif,-1.5604969263076782,-1.555364727973938,mp-604245,0.009732543000000149,Stable,Stable
